ticket_id,date_submitted,channel,platform,ticket_text,category,true_category,priority,customer_sentiment,escalate_flag,true_escalate,suggested_reply
TKT-10097,2024-09-22,web form,Roku,The recommendation algorithm is terrible. It keeps suggesting shows I've already watched.,,general_feedback,low,positive,,false,
TKT-10001,2024-09-08,email,Smart TV,The app crashes every time I try to open it on my Android tablet. Been happening since the update.,,technical_bug,medium,neutral,,false,
TKT-10010,2025-01-08,in-app chat,Roku,I've been locked out after too many login attempts. My account is not compromised.,,account_management,high,negative,,true,
TKT-10170,2024-11-01,app store review,Roku,Profile avatars are very limited. Let us upload custom images.,,general_feedback,medium,neutral,,false,
TKT-10149,2024-11-11,in-app chat,Android,Can you add a sleep timer? Would love it for bedtime watching.,,general_feedback,high,negative,,false,
TKT-10003,2025-02-02,twitter,Web,I want to cancel my subscription but can't find the cancellation option anywhere.,,account_management,urgent,negative,,true,
TKT-10127,2025-02-02,email,Roku,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,urgent,negative,,true,
TKT-10180,2024-11-30,twitter,Roku,Please bring back the old home screen layout. The new one is harder to navigate.,,general_feedback,low,negative,,false,
TKT-10061,2024-09-24,email,Web,Early access to The Hollow Season 3 was supposed to start today but I can't see it.,,content_access,medium,neutral,,false,
TKT-10085,2025-02-17,email,Smart TV,I can't find Battle Bots Jr. in search. It was there last week. Has it been removed?,,content_access,high,very negative,,false,
TKT-10115,2024-09-22,twitter,iOS,I really enjoy the app! Just wanted to say the Star Raiders series is amazing.,,general_feedback,low,negative,,false,
TKT-10020,2024-09-21,web form,iOS,The video player is great but please add 10-second skip buttons.,,general_feedback,medium,neutral,,false,
TKT-10049,2025-01-05,email,Web,The Hollow is showing as 'Expiring Soon' but the description says it's a permanent purchase.,,content_access,urgent,negative,,true,
TKT-10078,2025-02-08,in-app chat,Web,I want to change the email address on my account but the option is greyed out.,,account_management,high,neutral,,false,
TKT-10086,2024-11-24,in-app chat,Android,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,high,negative,,false,
TKT-10145,2024-12-04,email,Smart TV,The family plan was supposed to cover 5 members but I got charged per-user fees.,,billing_refund,medium,very negative,,false,
TKT-10093,2025-02-18,twitter,Smart TV,I never authorized a charge of $49.99 on my card. Please investigate.,,billing_refund,urgent,very negative,,true,
TKT-10168,2024-10-31,twitter,Roku,I share a family plan with my spouse but she can't see the content I purchased.,,content_access,medium,neutral,,false,
TKT-10013,2024-12-22,twitter,Fire TV,I share a family plan with my spouse but she can't see the content I purchased.,,content_access,medium,negative,,false,
TKT-10119,2024-11-14,in-app chat,Android,Episode 2 of Star Raiders is missing from my library even though I'm on the Premium plan.,,content_access,urgent,neutral,,true,
TKT-10076,2024-12-08,in-app chat,Web,I want to gift a subscription to a friend. How does that work?,,subscription_plan,medium,negative,,false,
TKT-10024,2025-01-20,email,iOS,I'm on the Premium plan — does it include the PPV events or are those separate?,,subscription_plan,low,neutral,,false,
TKT-10193,2024-10-17,web form,Roku,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,urgent,very negative,,true,
TKT-10026,2025-02-24,email,iOS,Charged $49.99 but the app says my account is still Free tier. Where did my money go?,,billing_refund,medium,very negative,,false,
TKT-10067,2025-02-01,in-app chat,Smart TV,Can I switch from monthly to annual billing and get credit for the days left this month?,,subscription_plan,medium,neutral,,false,
TKT-10128,2024-09-07,email,Android,The annual plan says '2 months free' but the math doesn't add up. I'm being overcharged.,,billing_refund,urgent,very negative,,true,
TKT-10106,2024-12-28,app store review,Roku,Dark mode setting resets to light mode every time I reopen the app.,,technical_bug,urgent,neutral,,true,
TKT-10177,2025-01-17,in-app chat,Smart TV,Please add a 'random episode' feature for when I can't decide what to watch.,,general_feedback,low,negative,,false,
TKT-10042,2024-10-05,app store review,iOS,Early access to The Lost Signal Season 3 was supposed to start today but I can't see it.,,content_access,urgent,very negative,,true,
TKT-10123,2025-02-15,email,Web,My payment keeps failing but you still managed to charge my card twice. Please look into this.,,billing_refund,high,very negative,,true,
TKT-10147,2024-12-17,twitter,Smart TV,Parental controls are blocking content I should be able to see on my adult account.,,content_access,high,very negative,,false,
TKT-10159,2024-10-27,in-app chat,Roku,I never authorized a charge of $79.99 on my card. Please investigate.,,billing_refund,high,negative,,true,
TKT-10173,2025-01-01,email,Fire TV,I've been trying to verify my email for 3 days. The link in the email says 'expired'.,,account_management,high,negative,,false,
TKT-10133,2025-01-07,app store review,Android,Charged $19.99 but the app says my account is still Free tier. Where did my money go?,,billing_refund,medium,very negative,,false,
TKT-10033,2024-12-13,twitter,Roku,HD quality setting doesn't stick. It always reverts to SD after I change it.,,technical_bug,medium,neutral,,false,
TKT-10044,2024-10-03,in-app chat,Android,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,high,negative,,false,
TKT-10082,2025-02-27,app store review,Fire TV,I bought a gift card and applied it but premium content is still locked for me.,,content_access,high,very negative,,false,
TKT-10134,2024-11-04,email,Web,What's the difference between the Standard and Premium plans? Your website isn't clear.,,subscription_plan,medium,positive,,false,
TKT-10019,2024-10-26,twitter,Android,Early access to The Hollow Season 3 was supposed to start today but I can't see it.,,content_access,medium,very negative,,false,
TKT-10021,2025-02-16,app store review,iOS,I want to downgrade from Annual to Monthly but can't find where to do it.,,subscription_plan,low,positive,,false,
TKT-10112,2025-02-06,twitter,Fire TV,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,urgent,very negative,,true,
TKT-10060,2025-02-24,app store review,iOS,I upgraded to the Annual plan but my card was charged the monthly rate. Please correct.,,billing_refund,high,negative,,false,
TKT-10141,2024-09-28,email,Roku,Your customer support wait times are unacceptable. 4 days and still no reply.,,general_feedback,medium,positive,,true,
TKT-10120,2025-01-08,web form,Roku,I bought the bundle deal but half the shows in the bundle are missing.,,content_access,high,negative,,false,
TKT-10114,2024-12-17,web form,Roku,I was billed for a PPV event I never watched. The stream was broken. I want a refund.,,billing_refund,high,negative,,false,
TKT-10092,2024-09-22,email,iOS,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,,content_access,high,negative,,false,
TKT-10175,2024-09-05,in-app chat,Android,Refund request for order #64254 — I bought the wrong PPV event by mistake.,,billing_refund,high,negative,,false,
TKT-10194,2024-11-01,twitter,Fire TV,I was incorrectly suspended. I have not violated any terms of service.,,account_management,medium,negative,,false,
TKT-10117,2025-02-28,in-app chat,Smart TV,My free trial ended but I was charged before I could cancel. This is unfair.,,billing_refund,high,very negative,,false,
TKT-10075,2024-12-29,email,Fire TV,Do you offer a military/veteran discount?,,subscription_plan,medium,neutral,,false,
TKT-10009,2024-09-03,web form,Web,I cancelled my plan on 2024-09-17 but still got billed. I want a refund.,,billing_refund,urgent,negative,,true,
TKT-10089,2025-01-04,email,Smart TV,Refund request for order #17972 — I bought the wrong PPV event by mistake.,,billing_refund,urgent,negative,,true,
TKT-10104,2024-12-28,app store review,Fire TV,I purchased Star Raiders Season 2 but only Season 1 shows up in My Library.,,content_access,high,very negative,,false,
TKT-10155,2025-01-13,web form,Smart TV,I want to cancel my subscription but can't find the cancellation option anywhere.,,account_management,urgent,negative,,true,
TKT-10041,2024-09-08,app store review,Smart TV,I paid for the Battle Bots Jr. PPV event but the stream never loaded. I missed the whole thing.,,content_access,high,negative,,false,
TKT-10040,2025-01-26,email,Roku,I signed up with Google but now want to switch to email/password login.,,account_management,urgent,very negative,,true,
TKT-10124,2024-12-18,email,Web,My downloaded episodes disappeared after the latest app update. I had 12 episodes saved.,,content_access,medium,negative,,false,
TKT-10056,2025-01-31,web form,Smart TV,I have two accounts with different emails and want to merge them.,,account_management,high,neutral,,false,
TKT-10023,2024-12-22,in-app chat,Web,Neon Knights is showing as 'Expiring Soon' but the description says it's a permanent purchase.,,content_access,high,negative,,false,
TKT-10095,2025-02-16,web form,iOS,Is there a student discount? I'm a full-time university student.,,subscription_plan,high,positive,,false,
TKT-10139,2024-11-23,in-app chat,Android,The 'Continue Watching' row shows content I've never seen and hides what I actually watch.,,content_access,urgent,negative,,true,
TKT-10130,2024-10-11,twitter,Web,My free trial ended but I was charged before I could cancel. This is unfair.,,billing_refund,medium,negative,,false,
TKT-10052,2024-10-01,in-app chat,Web,Profile picture upload fails with a generic error. Tried different image formats.,,technical_bug,high,negative,,false,
TKT-10178,2025-01-08,in-app chat,iOS,Please bring back the old home screen layout. The new one is harder to navigate.,,general_feedback,low,neutral,,false,
TKT-10150,2024-11-13,twitter,Fire TV,The app keeps logging me out every few hours. Very annoying.,,technical_bug,high,neutral,,false,
TKT-10016,2024-09-16,email,Fire TV,I can't access any content from my TV. The app just shows a loading spinner forever.,,content_access,medium,very negative,,false,
TKT-10179,2025-01-16,twitter,Roku,Episode 1 of Thunderclaw is missing from my library even though I'm on the Premium plan.,,content_access,high,very negative,,false,
TKT-10012,2025-02-16,in-app chat,Android,I requested a refund 10 days ago via chat and never heard back. Ticket #73699.,,billing_refund,high,negative,,true,
TKT-10135,2025-02-16,in-app chat,Android,My bank flagged your charge as suspicious and now my card is blocked. Please help.,,billing_refund,medium,negative,,false,
TKT-10034,2025-01-09,in-app chat,Fire TV,The app crashes every time I try to open it on my Android tablet. Been happening since the update.,,technical_bug,low,very negative,,false,
TKT-10058,2024-12-30,web form,Fire TV,Chromecast / AirPlay option has disappeared from the player controls.,,technical_bug,high,very negative,,false,
TKT-10200,2024-12-13,in-app chat,Smart TV,Charged $49.99 but the app says my account is still Free tier. Where did my money go?,,billing_refund,medium,negative,,false,
TKT-10039,2024-12-08,in-app chat,Android,I can't find The Hollow in search. It was there last week. Has it been removed?,,content_access,high,very negative,,false,
TKT-10032,2024-11-16,email,Fire TV,You charged me after I deleted the app. How is that even possible?,,billing_refund,medium,negative,,false,
TKT-10014,2025-02-09,email,iOS,Can I switch from monthly to annual billing and get credit for the days left this month?,,subscription_plan,high,neutral,,false,
TKT-10183,2024-10-24,email,Web,I need an invoice/receipt for my last 3 payments for expense reimbursement.,,billing_refund,high,very negative,,false,
TKT-10028,2024-12-15,twitter,Android,I've been locked out after too many login attempts. My account is not compromised.,,account_management,urgent,negative,,true,
